S. No,Location No.,name,Lat.,Long,x,y,B,Ni,Cr,Cd,Ca,Mg,Na,K,Fe,Ti,
1,3 (Al Daayen),W3," 25°33'56.79""N"," 51°29'18.69""E",25.56577,51.48852,10309.38,25.8,30.3,0.07,101883.67,22585.72,9357.83,3973.78,5172.75,456.08,
2,4 (Al Khor1),W4," 25°36'43.18""N"," 51°29'46.92""E",25.61199,51.49636,5710.74,17.92,31.72,0.1,93053.87,31009.47,11599.72,3246.5,4748.33,468.45,
3,5(Al Khor2),W5," 25°39'56.97""N"," 51°31'28.76""E",25.66582,51.52465,4511.01,9.69,16.88,0.19,97715.35,17088.32,4730.9,1747.83,2541.77,228.17,
4,6(Al Dhakira1),W6," 25°42'36.33""N"," 51°34'14.02""E",25.71009,51.57056,9751.58,4.54,6.42,0.02,107758.84,8914.61,9427.74,2129.5,897.81,55.21,
5,7(Al Dhakira2),W7," 25°44'42.10""N ","51°31'25.80""E",25.74502,51.52383,8599.64,16.33,32.82,0.16,97329.02,22914.15,9335.95,3777.18,4917.98,483.05,
6,8 (Al Dhakira 3),W8 ," 25°46'55.09""N"," 51°34'48.55""E",25.78196,51.58015,6284.51,9.51,16.51,0,98497.14,25382.85,14532.87,1919.73,2081.05,212.1,
7,9,W9," 25°49'11.84""N"," 51°34'36.49""E",25.81995,51.5768,4695.43,26.8,41.21,0.11,89309.72,29274.22,9207.81,3662.56,7339.32,694.46,
8,11F Al Jassasiya,W11," 25°58'6.53""N"," 51°23'22.38""E",25.96848,51.38955,5082.95,24.2,26.48,0.06,90385.38,25267.49,33867.85,4321.1,5942.1,458.5,
9,12 Fuwayrit,W12," 26° 1'18.69""N"," 51°22'2.59""E",26.02185,51.36738,5519.73,7.9,12,0,95364.99,20302.67,20889.35,2137.2,1931.34,156.4,
10,13 Al Ghariyah,W13," 26° 4'58.62""N"," 51°20'47.94""E",26.08295,51.34665,10032.82,17.01,28.9,0.11,101645.4,26084.49,10161.35,3132.56,4541.85,470.59,
11,13R Al Ghariyah,W13R," 26° 4'58.62""N"," 51°20'47.94""E",26.08295,51.34665,9306.7,15.12,25.08,0.13,100530.81,27396.8,16884.42,3709.86,3966.27,380.44,
12,14 Al Zulal,W14," 26° 8'58.39""N"," 51°14'59.38""E",26.14955,51.24982,6678.89,34.02,43.15,0.22,93569.35,35827.3,8846.71,4682.08,9034.77,742.7,
13,15 Al Ruwais -Beach,W15," 26° 8'30.26""N"," 51°13'52.64""E",26.14173,51.23128,6111.35,15.98,22.54,0.31,84798.99,29555.73,89628.22,4530.16,4631.94,283.66,
