Points,B,Ni,Cr,Cd,Ca,Mg,Na,K,Fe,Ti
W3,10309.38,25.8,30.3,0.07,101883.67,22585.72,9357.83,3973.78,5172.75,456.08
W4,5710.74,17.92,31.72,0.1,93053.87,31009.47,11599.72,3246.5,4748.33,468.45
W5,4511.01,9.69,16.88,0.19,97715.35,17088.32,4730.9,1747.83,2541.77,228.17
W6,9751.58,4.54,6.42,0.02,107758.84,8914.61,9427.74,2129.5,897.81,55.21
W7,8599.64,16.33,32.82,0.16,97329.02,22914.15,9335.95,3777.18,4917.98,483.05
W8 ,6284.51,9.51,16.51,0,98497.14,25382.85,14532.87,1919.73,2081.05,212.1
W9,4695.43,26.8,41.21,0.11,89309.72,29274.22,9207.81,3662.56,7339.32,694.46
W11,5082.95,24.2,26.48,0.06,90385.38,25267.49,33867.85,4321.1,5942.1,458.5
W12,5519.73,7.9,12,0,95364.99,20302.67,20889.35,2137.2,1931.34,156.4
W13,10032.82,17.01,28.9,0.11,101645.4,26084.49,10161.35,3132.56,4541.85,470.59
W13R,9306.7,15.12,25.08,0.13,100530.81,27396.8,16884.42,3709.86,3966.27,380.44
W14,6678.89,34.02,43.15,0.22,93569.35,35827.3,8846.71,4682.08,9034.77,742.7
W15,6111.35,15.98,22.54,0.31,84798.99,29555.73,89628.22,4530.16,4631.94,283.66
W15A,4255.4,19.63,24.7,0,95313.87,23076.61,9944.22,2994.15,4773.6,367.32
W16,4109.15,21.21,79.36,0.25,73053.38,20673.89,10795.92,6954.48,8267.99,1290.69
W17,5983.87,14.67,17.78,0.05,93938.45,22960.34,16269.71,3908.24,3837.14,294.61
W18,3118.98,8.88,14.36,0.15,46661.8,9438.89,48839.21,8840.6,3098.17,359.55
W19,4366.23,24.01,24.07,0.29,76819.46,35752.73,84136.85,7061.86,6088.59,435.05
W20,8111.73,6.24,16.94,0,89126.96,48998,16283.01,2112.56,1561.22,192.59
W21Z,3149.4,38.09,42.51,0.22,81044.97,41014.63,22620.71,4891.94,9825.91,835.13
W22,2799.45,27.68,26.31,0.01,86168.36,32829.74,26683.69,3736.66,7336.98,598.91
W23,2858.11,14.53,22.39,0,71192.32,32286.31,60724.41,5031.04,4002.75,494.23
W24,3482.38,18.44,17.31,0.28,86183.12,37010.78,59418.93,2820.71,4073.02,405.65
W25,1080.99,16.76,24.07,0.39,55932.17,16091.1,37812.92,7964.41,4512.53,674.72
W26A,3075.36,49.22,61.67,0.01,56908.68,39670.27,78564.45,7142.02,12545.38,1133.57
W27,5846.9,13.97,10.31,0.13,99258.59,18294.47,30577.04,2404.74,2468.16,218.99
W29,4506.66,4,17.34,0.23,81567.42,35361.45,57956.38,4207.47,3182.36,355.3
W30,3604.63,19.92,35.32,0.2,76022.69,36937.58,71820.86,5098.47,8168.65,697.02
W31,2643.98,12.37,62.92,0.21,71816.21,24626.5,20681.63,5357.56,6473.21,1009.55
W31A,2748.31,19.02,26.96,0.03,85120.53,32331.44,23140.24,3356.3,7229.2,574.78
W32,3948.24,22.67,39.66,0.17,68187.29,50797.57,38239.74,5566.27,7634.47,738.87
W33,2034.25,4.93,16.11,0.04,74418.1,22854.01,47487.65,4716.4,3060.64,429.1
W34,3235.33,8.64,23.3,0.06,84984.78,20651.26,53272.52,4676.69,4872.89,805.62
W35,4377.24,45.83,114.2,0.49,81032.29,32097.46,8338.36,7566.19,15238.04,1710.71
W38,4048.08,44.49,90.24,0.26,77776.47,30905.17,8578.76,7017.48,12350.44,1416.58
W39,2566.35,20.18,82.11,0.13,69626.96,25673.76,46042.13,7397.35,6359.23,1084.52
W41,1828.65,9.23,32.3,0.24,51232.5,11406.29,53291.15,8454.81,4811.21,677.14
W42,1207.92,6.15,26.54,0.07,53746.55,9459.97,47037.73,8113.19,4525.72,602.42
W43,1419.24,3.41,30.35,0.15,43128.15,6090.04,77830.77,7540.55,3508.99,542.92
W44,2464.25,7.88,39.57,0.15,66301.04,25264.62,96065.26,6685.51,4733.42,673.82
W45,1760.32,6.11,24.99,0.05,48849.95,11321.78,81841.12,8466.59,4047.01,551.24
W47,1171.5,1.77,8.42,0.11,45339.81,6695.8,71878.02,7853.1,2351.89,259.76
W48,1878.16,7.84,93.44,0.21,54977.41,18521.86,41424.99,7599.28,7565.44,1716.83
