Samples,Ba,B,Sr,V,Ni,Cr,Cu,Co,Cd,As,Pb ,Zn,Mo,Be,Li ,Sb
1A,1.17,10.69,98.74,0,264.67,66.13,11.22,0.42,0.05,52.93,0,222.1,65.92,0.08,0.31,0
1B,1.01,1.08,61.02,0.13,0,0.03,0,0.07,0,54.71,0,0,0,0.16,0.23,0
1C,1.24,0,63.28,0.23,0,0.21,0,0.24,0.02,38.83,0,0,0,0.08,0.21,0
1D,1.94,7.54,24.82,0.47,0,1.93,0,0.18,0,40.47,0,3.43,0,0.09,0.08,0
1E,3.22,0,38.04,0.76,0,2.18,0,0.03,0,14.24,0,0,0,0.14,0.35,0
2A,1.62,9.93,47.48,0.16,0,0.29,0,0.09,0,43.29,0,0.21,0,0.09,0.75,0
2B,92.43,2319.21,552.56,8.47,4.48,16.48,29.71,2.2,0.05,35.4,0,0,0,0.2,4.14,0
2C,73.5,1930.21,712.6,5.61,2.28,6.3,29.44,1.45,0.04,28.11,0,0,0,0.14,3.14,0.31
3A,1.86,43.44,237.64,0.27,0,0.18,20.1,0.11,0.06,53.06,0.51,0,0,0.13,0.46,0
3B,11.22,506.2,709.31,1.79,0,1.28,6.97,0.49,0,29.6,0,4.03,0,0.09,1.64,0
3C,28.47,1362.06,818.74,5.93,2.67,6.66,17.91,0.79,0,20.49,0,0,0,0.11,2.09,0
3D,78.78,3642.84,340.62,6.37,2.93,6.9,56.91,2.24,0.31,38.47,0,4.92,0.08,0.11,4.95,0
3E,70.5,2397.56,423.07,5.7,1.39,7.51,37.24,1.45,0,42.42,0,2.49,0,0.14,3.57,0
3F,2.54,83.87,589.55,0.31,0,0.76,18.68,0,0,45.7,0,0.08,0,0.09,0.49,0
3G,0.89,35.47,123.71,0.1,0,1.11,20.06,0.01,0.09,49.44,0,0,0,0.12,0.28,0
3H,16.2,617.03,1457.87,4.99,1.06,3.38,25.93,1.08,0.01,32.54,0,0.82,0,0.1,1.63,0
3I,0.69,294.59,866.16,0.04,0,0,19.63,0.35,0,17.17,0,1.08,0,0.08,0.43,0
3J,2.22,1366.85,769.28,0.39,0,0.55,21.44,0.61,0,3.15,0,0.44,0,0.06,0.45,0
3K,57.33,2273.67,842.79,13.5,9.42,16.28,28.83,2.43,0.02,28.57,0.91,8.1,0,0.2,5.01,0
4A,5.13,712.62,851.54,0.38,0,0.26,19.61,0.1,0,13.98,0,0.3,0,0.13,0.73,0
4B,0.22,33.77,31.98,0,0,0,6.32,0.11,0,27.56,0,0,0,0.15,0.3,0
4C,3.89,154.36,623.89,0.44,0,0,8.81,0.04,0,19.14,0,0,0,0.08,0.8,0
4D,1.34,417.99,752.27,0,125.08,30.66,15.45,0.3,0,18.14,0,102.65,31.35,0.13,0.38,0.23
4E,73.05,2211.33,782.06,10.3,7.27,14.07,23.57,1.86,0,28.32,1.02,2.24,0,0.21,3.86,0
4F,19.75,1772.33,887.61,3.23,62.49,18.45,41.02,0.88,0.21,38.99,2.73,69.89,14.98,0.14,2.4,0
4G,0.98,190.21,1178.67,0.22,0,0,23.09,0,0,32.01,0,0.42,0,0.06,0.3,0.59
5,131.49,7162.36,707.66,22.74,13.66,29.34,52.63,3.69,0.31,19.48,0,14.02,0.36,0.21,6.7,1.14
6,186.65,1659.85,244.91,7.54,3.97,8.43,33.42,1.57,0.1,15.14,3.75,4.16,0.06,0.37,4.3,0
7,1.8,204.22,596.97,0.11,0,0,19.93,0.08,0,26.72,0,0.67,0,0.11,0.69,0
8,54.14,7063.36,0,8.38,2.97,9.83,46.76,1.89,0.11,41.59,0,0,0.69,0.09,5.83,0
9,0.34,70.19,27.79,0.05,0,0,17.52,0.21,0.02,43.28,0.21,1,0,0.12,0.4,0
10,165.27,2407.89,317.52,13.75,8.64,30.29,32.37,2.63,0.19,42.78,1.5,2.49,0.06,0.38,5.18,0
11,205.61,2829.11,198.19,13.93,21.36,31.09,44.09,3.21,0.05,43.33,3.99,16.1,2.6,0.4,5.98,0
12,150.7,2884.92,794.86,13.01,8.47,29.2,27.15,2.78,0.26,42.63,1.98,1.53,0.29,0.26,6.96,0
13,199.58,2246.3,264.3,14.63,8.8,27.22,36.7,2.12,0.17,39.83,1.71,5.64,0.37,0.42,5.45,0
