Samples,PC1,PC2,PC3,RPC1,RPC2,RPC3,Cluster
1A,-1.4873983278543708,9.943497316733705,0.08799090213609571,-0.6338773515841735,9.800219293000795,1.4385609283191267,2
1B,-2.3649442701725407,-0.2906793174663627,-1.687250748982062,-1.5039963095555324,-0.6016516698674407,1.406420293665555,1
1C,-2.5086443676749677,-0.4567082256396,-0.9113434644485298,-1.7772046349587862,-0.656948512983035,1.5503216678085197,1
1D,-2.539213684045676,-0.3468664643779238,-1.0532211695094116,-1.8497715116517262,-0.5637538671612988,1.4936374904181782,1
1E,-2.4128428302812956,-0.7021731785393651,-0.452574843182985,-2.69421968119417,-0.7416742339198809,0.702973855319641,1
2A,-2.4971625093744843,-0.4164207480594028,-1.1211719246445269,-1.7077593543585394,-0.6486503919467633,1.5436950344138767,1
2B,1.5634432068419655,-0.4118417864760077,-0.016272382633143224,1.2766485738108913,-0.39915215620936884,-0.9063819348970675,0
2C,0.593538410929737,-0.7775279184609767,1.2561028288359593,0.46565000295416775,-0.6421686364906983,0.031165599746413773,0
3A,-1.6497846970961003,-0.33609310870490533,-1.1923424775861127,-0.5603861491724297,-0.5751388983845556,1.365775888091815,1
3B,-1.7963985484559988,-0.7044816171336171,0.2850342229587975,-1.4281212968027348,-0.6620054163227258,1.1056731577185033,1
3C,-0.7591701895029225,-0.7984890680187091,0.8677936141450106,-0.8275066086569228,-0.642198326026079,0.41604521330648736,1
3D,2.705893994860898,-0.5041842772025855,0.6458868736551694,3.83444269822911,-0.5811184657994594,0.12412033835392333,0
3E,0.6265545737495155,-0.5447609240694452,-0.1268660083665034,1.079912881996511,-0.6081610901239516,0.12235632232373064,0
3F,-2.105233104276899,-0.518352466864763,-0.2838383959314068,-1.040881762604537,-0.6124302298116081,1.7162150800703626,1
3G,-1.7810544913785966,-0.32208850505814074,-1.0087571842473706,-0.5578954868112017,-0.5740533091805697,1.6373448877751595,1
3H,-0.8055379653152163,-0.861024162903887,1.4009769300640935,-0.3268340530774805,-0.6219141607221995,0.9270057070927495,1
3I,-2.040036164847983,-0.9261520265535624,1.0027220110409254,-1.7435685340271998,-0.753844619551292,1.265344241896554,1
3J,-1.774833234258507,-1.1013015868266691,1.5320637087596136,-1.7684648189519574,-0.8508043037386422,1.0595636479866308,1
3K,1.9856169518645412,-0.4292199759473029,0.4090314597115374,1.176629720545515,-0.27276954580236246,-1.5339110224682038,0
4A,-1.809076995654508,-0.9859607176785752,0.9344858860570305,-1.79532652482728,-0.799017705017484,0.9017757731843068,1
4B,-2.2962688792096455,-0.6149592663291817,-0.8090943673647576,-2.1176017142195134,-0.7418397274674119,0.9725479157572045,1
4C,-2.3070263838107308,-0.8504196667564562,0.4733437797083719,-2.0835743608065678,-0.7650902860077562,1.2348653973092851,1
4D,-1.5816742323416164,3.902364993004486,1.7207543623599901,-1.7993934478424491,4.130282122563903,0.8875427494401151,1
4E,1.326284136961699,-0.5245862375869554,0.06033966177157457,0.4463357649825048,-0.39829396701390657,-1.4147164393373197,0
4F,1.1447487566414938,2.0377876709769844,0.1984304957860155,1.390780817780569,2.118981561276573,-0.4153117175832759,1
4G,-1.8051178438971531,-0.8300895550576047,2.420287820561484,-1.2030435302169513,-0.5897379361347965,1.9655437476857645,1
5,6.557084804122497,-0.24055896481192307,4.531891899001071,5.42727937971151,0.1287020891742742,-2.06101648506178,0
6,3.1199506330257902,-0.6477212445925457,-1.9532299819121115,0.3692939044394729,-0.5740442920635461,-4.433590490743502,0
7,-1.998700370015154,-0.767490940560848,0.2493032798608972,-1.540745319962853,-0.7304301634936524,1.2501236003875573,1
8,2.4448117536348497,-0.5412305545726441,0.4303284336481668,3.5256241040261846,-0.6925953265505378,0.2457560863994275,0
9,-1.9545497148982687,-0.42341205456813086,-1.086748109922717,-1.1174969471966847,-0.6452547314801321,1.339375410372326,1
10,4.194059207241709,0.19571245358324146,-1.620196533210936,2.6618720024550466,0.10060283258695375,-3.532834361574845,0
11,5.2332300483953365,0.5956747533383818,-2.6304062089853675,2.627260178303567,0.5313540564132249,-5.327048830673591,0
12,4.36459581297797,0.09146326292891993,-0.6492488089524565,3.319235038289223,0.11011939277006356,-2.9965117440699953,0
13,4.414856513114623,0.10829411025237833,-1.9042055601814054,2.476704330955412,0.024480621485371147,-4.082427008433625,0
