,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Ba,0.3544724956196547,-0.02863700383224284,-0.17035067804180906,-0.20280399603710278,-0.06944335299366224,-0.04291833570857709,0.034954567862461074,0.3036711910663036,-0.46776443826287967,-0.2852611961525197,-0.5888901724007266,-0.22659506643307617,-0.035622525398185154,0.056866715742707116,0.021464247922109894
B,0.3094712368650768,-0.049313593339729,0.23689789958997237,0.34532250975647966,-0.2670747536615211,0.0736472063985476,-0.3235088716842893,-0.2738394750139738,0.27521813837913767,-0.5051954245789269,-0.17178238936530194,0.2153212535883656,-0.2493680040090406,0.02165384896591977,0.023139283754188545
Sr,0.018612761856338266,-0.07592972781255604,0.6213477376753577,-0.31919570977765005,0.5744831507765326,-0.29797391264985723,0.13317199100030724,-0.03323546056350466,0.01567548776671488,-0.22149567851004837,-0.02572499914815145,0.04929940735290087,-0.1255770965266184,0.007740762270143037,0.006543765685479682
V,0.3598574904911152,-0.0435698347236954,0.07651067469884798,0.001689834677791019,-0.1480519650587754,-0.33231985199766245,0.15022963477886153,-0.13246933014206344,0.49221864510660407,0.23412032176368136,-0.1377534030975593,-0.5589941524858548,0.20602824132745579,-0.1260308607347591,-0.05831968671219864
Ni,-0.013127444751591805,0.5138632591445893,0.08524619309799186,-0.03728151213051845,-0.042273770140654914,0.018979445746333496,-0.04851176271186945,0.026360738821488358,-0.03381616147627978,-0.012431553441285891,0.04079698302640889,-0.12221770094581265,-0.12140782109299841,-0.433572772498547,0.708021879050831
Cr,0.21109469590003146,0.41576429360302414,0.023579432322927175,-0.06638305996298682,-0.09464980734254655,-0.2210625052258441,0.1542080532089662,0.0037909789369576924,0.04902753835606579,-0.003933327422657312,-0.12075338756557175,0.5691367039373252,0.5860496535461139,0.10580290488702443,-0.02071421597110828
Cu,0.31217805774187557,-0.027222366797246596,0.2323941119403767,0.17800555596107204,0.27778763863909317,0.3180429997388984,-0.45560884546628055,0.5566738729899358,0.10760988053426132,0.23943213342834146,0.053236066994154715,-0.013786204004555394,0.21900604987042932,-0.019443792906124618,-0.007401140022680414
Co,0.3679711866656246,-0.017438595704181867,0.08589745600184157,0.04407325059450862,-0.0902297375935816,-0.23288319539386265,-0.023325020070111696,-0.11508718693114267,-0.26104134557,0.621540616217825,-0.03194285747056122,0.2983807341275173,-0.4834043781904501,-0.010557700325133479,-0.022565087214670793
Cd,0.2873596671265995,0.04571996352304453,0.04538117743021204,0.3257241144178826,0.20684068294493024,0.507612528693239,0.7050862275533919,-0.06835453663167944,-0.013420449330855691,-0.015897344561537713,0.0074625080733004105,0.004339549568736528,-0.05637899929198582,-0.034882467454588895,0.0018015150734865802
As,0.028676391610797436,0.14799333756130517,-0.48651920879549004,0.47759713584751196,0.5677374550444175,-0.39767001297058163,-0.10068084196785265,-0.02772340681274421,0.047082514283801974,-0.09661357454454447,-0.05429762573951171,-0.008373377738493613,-0.08074512746523528,-0.00029748632146681873,0.0037469912157619516
Pb ,0.2434225048806928,0.035487118733220996,-0.29347216737523607,-0.4700921073329055,0.3199095267414091,0.374423039779011,-0.27362333419144574,-0.5323316334103128,0.0797514254114858,0.08090627246912291,-0.08859102313488228,0.02732237128184506,0.07458410263015894,-0.0660052393667366,-0.01310553466455665
Zn,-0.018356127482355176,0.5118706497787617,0.09298319080760069,-0.031394077128041584,-0.0001503077329424677,0.08556398540412188,-0.05513557142521516,-0.03322828670547874,0.061412108815200483,0.060954972646432654,0.033762762676339805,-0.2709568929402778,-0.19086556895160997,0.7733286325085378,0.006588104387907988
Mo,-0.03802509386320325,0.5113258165024,0.08436156753810842,-0.026325331325163893,-0.03703542337947143,0.045692157616180604,-0.06342003803398963,0.04377200667641952,-0.0809810026498575,-0.08868290082405744,0.04922737305349581,-0.10827785477038993,-0.15575648300971934,-0.4173957193102507,-0.7020280211960921
Be,0.29956014647403695,-0.010052385217330817,-0.3331118555352398,-0.36840412861920635,-0.06364313360525783,-0.07002706864962398,0.1501209991730234,0.39744617605784377,0.3703761867705331,-0.2149198855131975,0.39881630831209963,0.16497157984406266,-0.3222442155875172,0.022717950763441547,0.005191844132402368
Li ,0.3700947912321135,-0.04801558969121025,0.04595951436472144,0.07567740882111644,-0.054518817716493445,-0.1362978188068513,-0.08836389680085696,-0.20124969682919042,-0.4726433509782126,-0.2044920964917842,0.640695874622191,-0.21475300344977297,0.2422801173447099,0.04835729576354186,0.013003520304942565
